"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"D12","PC12","I/O","","","DEBUG_TRACED3","TIM1_CH4","TIM15_CH1","","","I2S6_CK/SPI6_SCK","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","PSSI_D9","","SDMMC1_CK","","DCMIPP_D9","","EVENTOUT"
"D13","PA14(JTCK/SWCLK)","I/O","","","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"D14","PA9","I/O","","","","TIM1_CH2","","LPUART1_TX","I2C3_SDA","I2S2_CK/SPI2_SCK","PSSI_D0","USART1_TX","","","","","FMC_D3/FMC_DA3","DCMIPP_D0","","EVENTOUT"
"D15","PC8","I/O","","","DEBUG_TRACED1","","TIM3_CH3","","I2C3_SMBA","","","","UART5_DE/UART5_RTS","PSSI_D2","","SDMMC1_D0","","DCMIPP_D2","","EVENTOUT"
"E1","PE6","I/O","","","DEBUG_TRACED3","TIM1_BKIN2","SAI1_D1","ADF1_SDI0","TIM15_CH2","SPI4_MOSI","SAI1_SD_A","","","PSSI_D7","SAI2_MCLK_B","","FMC_D15/FMC_DA15","DCMIPP_D7","","EVENTOUT"
"E2","PE4","I/O","","","DEBUG_TRACED1","","SAI1_D2","ADF1_SDI0","TIM15_CH1N","SPI4_NSS","SAI1_FS_A","","","PSSI_D4","","","FMC_D13/FMC_DA13","DCMIPP_D4","","EVENTOUT"
"E3","VSS","Power","","","","","","","","","","","","","","","","","",""
"E4","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E5","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","I2C1_SCL/I3C1_SCL","CEC","PSSI_D5","USART1_TX","LPUART1_TX","FDCAN2_TX","","ETH_MII_RX_CLK/ETH_RMII_REF_CLK","FMC_SDNE1","DCMIPP_D5","UART5_TX","EVENTOUT"
"E6","VCAP4","Power","","","","","","","","","","","","","","","","","",""
"E7","PD6","I/O","","","","","SAI1_D1","ADF1_SDI0","ETH_CLK","I2S3_SDO/SPI3_MOSI","SAI1_SCK_A","USART2_RX","","PSSI_D10","FMC_INT","SDMMC2_CK","FMC_NE3","DCMIPP_D10","","EVENTOUT"
"E8","VSSUSB","Power","","","","","","","","","","","","","","","","","",""
"E9","VSS","Power","","","","","","","","","","","","","","","","","",""
"E10","PG1","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E11","PE12","I/O","","","","TIM1_CH3N","","","","SPI4_SCK","","","","","SAI2_SCK_B","","FMC_SDNRAS","","","EVENTOUT"
"E12","PA13(JTMS/SWDIO)","I/O","","","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"E13","PA10","I/O","","","","TIM1_CH3","","LPUART1_RX","","","PSSI_D1","USART1_RX","","","","MDIOS_MDIO","FMC_D2/FMC_DA2","DCMIPP_D1","","EVENTOUT"
"E14","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","","I2C3_SDA","I2S_CKIN","","","UART5_CTS","PSSI_D3","","SDMMC1_D1","","DCMIPP_D3","","EVENTOUT"
